true_class,fbc,spg_hit,sharpness
2,0.124583,1,10.418837
42,0.122020,0,10.590559
16,0.128599,0,10.536979
2,0.163848,0,10.493549
42,0.236954,0,10.412274
42,0.140413,1,10.517835
35,0.164960,0,10.480702
27,0.054931,0,10.454076
20,0.149116,0,10.413246
18,0.194308,1,10.462150
19,0.154089,0,10.308335
19,0.201258,1,10.375134
19,0.196318,0,10.400602
48,0.185021,0,10.411807
48,0.135205,0,10.447960
5,0.130742,0,10.512705
41,0.125770,0,10.459437
5,0.273505,1,10.388144
5,0.132192,0,10.388079
18,0.160314,0,10.372835
5,0.187164,1,9.909070
40,0.153205,0,10.391872
40,0.140566,0,10.466665
40,0.144697,0,10.508010
40,0.082910,0,10.476230
43,0.383335,0,9.630537
43,0.196206,1,9.922443
43,0.396922,0,9.731039
27,0.114643,1,10.470760
33,0.234925,0,10.286789
10,0.073240,0,10.484646
36,0.210745,0,10.488178
18,0.222657,1,10.365953
24,0.171142,0,10.192004
27,0.145260,0,10.503262
41,0.095187,0,10.405241
41,0.159525,0,10.390586
18,0.201765,1,10.519911
4,0.079076,0,10.477154
4,0.082452,0,10.442665
21,0.340946,0,9.641373
19,0.238870,1,10.431942
33,0.419935,1,9.518259
10,0.150872,0,10.517368
46,0.140667,0,10.538910
45,0.116977,0,10.523548
12,0.109282,0,10.457064
4,0.072251,0,10.491468
33,0.170179,0,10.433002
19,0.181738,1,10.450256
10,0.148755,1,10.570307
12,0.125522,0,10.512993
12,0.075585,0,10.494630
3,0.184308,0,10.248098
3,0.202555,0,10.206572
3,0.146029,1,9.945369
3,0.195926,1,10.225856
1,0.231657,1,10.275303
7,0.030596,0,10.415031
7,0.093176,0,10.375826
7,0.155443,1,10.498660
19,0.193195,1,10.450438
45,0.081995,0,10.488884
18,0.165597,0,10.487116
46,0.063300,0,10.430154
10,0.100413,0,10.495062
46,0.180594,0,10.431975
20,0.096876,0,10.474905
20,0.143725,0,10.501432
20,0.115517,1,10.489790
20,0.130692,0,10.429323
20,0.128151,0,10.538386
20,0.124879,0,10.423409
20,0.146440,1,10.523901
45,0.042473,0,10.448824
8,0.130692,1,10.443199
8,0.123398,0,10.446547
8,0.126314,0,10.481799
8,0.117806,0,10.449257
8,0.176471,0,10.452676
8,0.228525,0,10.298013
1,0.145311,1,10.242567
1,0.184856,1,10.209132
1,0.162579,0,10.237518
11,0.075811,0,10.493838
11,0.120252,0,10.541687
46,0.213155,1,10.562416
21,0.007160,0,9.792438
18,0.203913,1,10.461894
18,0.202951,0,10.416276
18,0.175552,1,10.485686
3,0.237791,1,10.256051
10,0.081766,0,10.578951
0,0.190864,1,10.302626
0,0.110918,1,10.365379
10,0.168736,1,10.498228
29,0.165225,0,10.438334
13,0.136313,0,10.604509
13,0.138891,1,10.604959
24,0.628084,1,9.384930
46,0.082681,0,10.461040
17,0.175174,0,10.506800
17,0.074276,0,10.487738
24,0.199625,0,10.205430
17,0.215401,0,10.105180
35,0.117367,0,10.504827
35,0.192250,1,10.360126
11,0.106214,1,10.454603
11,0.139449,1,10.442224
38,0.161683,0,10.176968
37,0.154714,0,10.451612
24,0.214248,0,10.288161
27,0.161314,1,10.539520
36,0.028030,0,10.351108
38,0.123793,0,10.327084
0,0.167670,0,10.293385
17,0.174258,1,10.486405
17,0.138182,0,10.462792
23,0.078076,0,10.247579
9,0.151752,0,10.364115
9,0.120252,0,10.439625
9,0.159105,0,10.431351
9,0.091266,0,10.512035
0,0.133948,0,10.381204
17,0.093316,0,10.511236
5,0.227053,1,10.404583
5,0.198221,0,10.456116
9,0.153361,1,10.357396
32,0.124237,0,10.415266
13,0.134350,1,10.575348
13,0.092616,1,10.548073
47,0.147416,1,10.519297
47,0.189481,1,10.490089
47,0.159210,0,10.418724
17,0.138182,0,10.324761
12,0.147570,0,10.527296
32,0.066667,0,10.481144
28,0.154297,0,10.471045
41,0.115274,0,10.430349
41,0.147828,0,10.456732
16,0.140363,0,10.489220
16,0.173773,0,10.453514
16,0.150252,0,10.473227
27,0.077305,0,10.461696
27,0.102355,1,10.443764
22,0.211892,0,9.874392
30,0.607939,1,9.545912
46,0.216557,0,10.527357
37,0.144083,0,10.512913
37,0.227288,1,10.511210
31,0.214594,0,10.443615
38,0.138689,0,10.134773
11,0.087372,0,10.517405
11,0.087003,1,10.556730
22,0.130143,0,10.465706
34,0.197101,1,10.325891
9,0.134601,0,10.492615
32,0.118539,0,10.519644
32,0.081127,0,10.478626
31,0.119909,1,10.321081
37,0.165331,0,10.331211
31,0.117416,0,10.518685
0,0.280000,0,9.573769
31,0.113915,0,9.905077
31,0.158791,0,10.490620
1,0.279424,1,10.128210
28,0.087326,0,10.346757
39,0.598202,1,9.155319
39,0.654816,1,9.348501
7,0.075224,0,10.432213
28,0.112028,0,10.500058
37,0.163002,0,10.518932
23,0.127654,0,10.277033
1,0.216383,1,9.870749
1,0.283337,0,9.888248
32,0.071892,0,10.510904
44,0.047892,0,10.435917
23,0.123053,1,10.442982
30,0.361195,0,9.829397
38,0.149683,0,10.421936
28,0.129545,0,10.143698
28,0.119028,1,10.280848
47,0.132192,0,10.499443
28,0.100082,0,10.435781
34,0.376788,1,9.576171
4,0.164377,0,10.463144
34,0.120301,0,10.478614
31,0.112463,1,10.474988
27,0.108177,0,10.493420
44,0.152530,1,10.510332
14,0.152115,0,10.424081
14,0.111401,0,10.424887
3,0.234032,0,10.053268
25,0.141379,0,10.424665
29,0.282501,0,9.976437
14,0.080625,0,10.459999
14,0.031426,0,10.413502
14,0.064715,0,10.487640
14,0.043620,0,10.412015
32,0.086265,0,10.355272
25,0.143163,0,10.517641
34,0.132393,1,10.293386
28,0.089315,0,10.443785
34,0.154557,1,10.466612
6,0.126959,1,10.514715
6,0.198614,1,10.437357
22,0.137626,1,10.569735
30,0.247746,0,9.972504
37,0.175822,1,10.341938
30,0.265948,1,10.280182
30,0.236416,1,10.228012
24,0.557841,1,9.218195
47,0.150510,0,10.511185
34,0.425152,1,9.293213
3,0.168470,1,10.339138
3,0.212293,1,10.391946
49,0.087141,0,10.462503
49,0.110918,0,10.445560
49,0.098571,0,10.475174
49,0.094578,0,10.429184
49,0.185734,1,10.469358
49,0.151131,0,10.499773
49,0.147828,0,10.511437
26,0.098382,0,10.505258
15,0.222541,0,10.469696
5,0.373538,1,9.514924
30,0.227582,0,10.338356
39,0.149683,0,10.298655
14,0.084608,0,10.524546
39,0.647998,1,9.280680
39,0.653320,1,9.082573
39,0.631820,1,9.380972
9,0.111932,0,10.498489
23,0.236595,1,10.330872
15,0.164960,1,10.373330
22,0.141634,0,10.546197
25,0.093036,0,10.453433
25,0.095000,1,10.353222
6,0.117806,0,10.523558
6,0.132242,0,10.511642
25,0.170018,0,10.327157
8,0.170072,1,10.416866
