true_class,fbc,spg_hit,sharpness
2,0.213155,1,9.857285
2,0.138638,0,10.391539
42,0.248780,0,10.280715
42,0.084930,0,10.466119
42,0.203573,0,10.286173
16,0.146902,1,10.471045
42,0.187219,0,10.187617
42,0.103306,0,10.385395
27,0.161208,0,10.426975
20,0.119958,0,10.283279
19,0.097629,0,10.251322
19,0.179995,0,10.307466
19,0.105354,0,10.314100
19,0.202273,0,10.307734
48,0.207035,0,10.313863
48,0.137576,0,10.380619
5,0.188376,0,10.458821
41,0.155287,1,10.447545
41,0.070771,0,10.420996
5,0.186559,0,10.363940
18,0.212179,0,10.381478
5,0.246349,1,9.771822
40,0.223826,0,10.409973
40,0.152530,0,10.406232
40,0.111545,0,10.261888
40,0.096923,0,10.431336
40,0.072656,0,10.431859
46,0.209258,0,10.270794
43,0.469491,1,9.535802
43,0.430327,1,9.700980
43,0.254226,0,9.829231
27,0.132493,1,10.380779
33,0.204933,0,10.285530
10,0.099090,1,10.458864
36,0.092197,0,10.422611
36,0.109955,0,10.408834
41,0.094625,0,10.474404
41,0.108513,0,10.485547
18,0.136313,0,10.386867
21,0.438202,1,9.666069
19,0.355717,0,10.237130
33,0.535509,1,9.481001
10,0.179669,0,10.412890
46,0.129594,0,10.403294
45,0.035431,0,10.454370
45,0.050731,0,10.512642
12,0.202386,0,10.463638
4,0.144236,0,10.399353
40,0.176579,0,10.429281
19,0.228938,1,10.303152
10,0.096313,0,10.330274
12,0.175444,0,10.490731
12,0.166340,0,10.448519
21,0.234568,0,10.014906
3,0.205046,1,10.232538
3,0.228879,0,10.340618
3,0.221957,0,10.093947
3,0.201822,0,10.259676
1,0.214479,1,10.252427
7,0.044173,0,10.414207
7,0.122266,1,10.402651
19,0.220617,1,10.297890
45,0.171786,0,10.501556
45,0.173989,0,10.421597
7,0.122216,0,10.513428
46,0.107650,1,10.495288
7,0.097723,0,10.485384
10,0.072431,0,10.464958
46,0.186944,0,10.394362
20,0.102403,0,10.334955
20,0.133496,0,10.382113
20,0.157062,1,10.423414
20,0.081538,0,10.381433
20,0.149890,0,10.389100
20,0.133797,1,10.365644
20,0.135960,0,10.355176
45,0.033717,0,10.479364
8,0.147622,0,10.381557
8,0.104353,0,10.390917
8,0.097206,0,10.420417
8,0.188928,0,10.304432
1,0.160577,1,10.133799
1,0.171947,1,10.152664
1,0.171839,0,10.234900
11,0.149580,0,10.424741
11,0.052112,0,10.488626
46,0.112705,1,10.532668
46,0.122167,0,10.438542
18,0.176525,1,10.362294
18,0.184363,1,10.332782
3,0.159315,0,10.251287
10,0.067111,0,10.486675
0,0.167191,1,10.303455
0,0.235581,0,10.226787
10,0.117709,0,10.434359
13,0.195312,0,10.470594
13,0.214998,0,10.484129
46,0.123596,0,10.364188
17,0.086265,0,10.321319
17,0.112028,0,10.378399
17,0.257182,1,10.021152
35,0.070727,0,10.362831
35,0.157742,0,10.440670
0,0.181357,1,10.273338
38,0.098335,0,10.275022
24,0.243987,0,10.148975
11,0.095140,0,10.467115
11,0.138132,0,10.496779
38,0.064184,0,10.400404
38,0.174905,0,10.339149
37,0.120448,0,10.134697
24,0.185844,0,10.262939
37,0.158895,0,10.390311
27,0.132543,1,10.497933
36,0.072701,0,10.526423
0,0.178854,0,10.288626
17,0.130093,0,10.355738
23,0.106931,0,10.237675
9,0.166765,0,10.394424
9,0.117221,0,10.346272
9,0.156958,0,10.369383
9,0.117855,0,10.372654
0,0.177715,1,10.304726
17,0.120448,0,10.366531
5,0.165331,1,10.395643
5,0.189039,0,10.399023
9,0.180757,0,10.397200
32,0.182830,0,10.407848
13,0.119272,0,10.479974
12,0.275472,0,10.424369
12,0.114303,0,10.369760
32,0.199625,1,10.357668
41,0.127108,0,10.376713
16,0.177824,0,10.371628
27,0.150252,0,10.328844
27,0.122413,0,10.385108
22,0.259471,0,9.861852
30,0.627670,1,9.350098
30,0.568820,1,9.367780
46,0.141481,0,10.396905
37,0.142143,1,10.335045
37,0.113528,0,10.385221
31,0.222249,1,10.302858
11,0.082865,0,10.446064
11,0.126562,0,10.384676
11,0.124978,0,10.372789
21,0.505794,1,9.440194
21,0.484316,1,9.582286
27,0.241634,0,9.661942
21,0.125720,0,10.345238
39,0.601702,1,9.262394
21,0.495327,1,9.336330
34,0.252569,1,10.110586
9,0.099893,0,10.387665
32,0.139145,0,10.402020
31,0.194754,0,10.149680
37,0.153985,1,10.139198
35,0.102688,0,10.351244
36,0.157899,0,10.385426
0,0.332085,1,9.449327
31,0.240310,1,10.001780
1,0.270976,0,9.969444
39,0.588878,1,9.394701
37,0.115906,0,10.091034
7,0.071937,0,10.347876
28,0.197941,0,10.397295
37,0.127654,0,10.274569
25,0.129744,1,10.225599
1,0.258542,0,9.939047
1,0.260091,1,9.917422
32,0.205330,0,10.384651
23,0.182776,1,10.387529
30,0.470588,1,9.608678
38,0.151701,0,10.371966
47,0.180322,0,10.276787
28,0.224119,1,10.391336
31,0.093456,0,10.412914
27,0.122512,0,10.442816
3,0.246045,0,10.137114
9,0.170928,0,10.432472
26,0.204309,0,10.227231
26,0.246288,1,10.310614
25,0.178203,0,10.333447
29,0.264947,1,9.940042
14,0.033800,0,10.371460
14,0.071937,0,10.338313
14,0.067022,0,10.296127
44,0.204309,0,10.409449
32,0.105736,0,10.245369
25,0.101170,0,10.445372
34,0.218177,1,10.015850
28,0.201427,1,10.399797
26,0.135255,0,10.377181
6,0.171410,0,10.399387
6,0.207832,1,10.325592
22,0.130442,0,10.428837
30,0.302600,1,9.616007
30,0.130293,0,10.284124
37,0.189094,0,10.264923
30,0.333820,1,10.118773
30,0.350567,1,9.861480
24,0.565462,1,9.275640
47,0.147210,0,10.451338
34,0.426661,1,9.217598
3,0.170660,0,10.407524
3,0.187880,0,10.458298
49,0.059647,0,10.354454
49,0.146748,0,10.355862
49,0.134098,0,10.415682
49,0.105306,0,10.453440
49,0.107937,0,10.412164
49,0.094064,0,10.420500
49,0.125968,0,10.485085
22,0.125176,0,10.429815
5,0.382439,1,9.358206
30,0.303993,1,10.163090
39,0.558220,1,9.255545
39,0.585925,1,9.146629
39,0.612294,1,9.347352
9,0.110533,0,10.404934
15,0.333264,1,9.132093
22,0.060612,0,10.575697
25,0.135507,0,10.368944
26,0.206068,0,10.187645
26,0.130293,0,10.367064
6,0.157638,0,10.378969
6,0.129894,0,10.404316
36,0.076580,0,10.404853
25,0.209144,0,10.169028
8,0.096407,0,10.418927
0,0.232903,1,9.911694
