true_class,fbc,spg_hit,sharpness
2,0.177336,0,9.698165
2,0.113043,1,10.455862
42,0.198165,0,10.418040
16,0.127604,0,10.496644
2,0.073330,0,10.531229
42,0.271986,0,10.281558
27,0.171142,1,10.484064
20,0.130243,0,10.499468
19,0.186284,0,10.457638
19,0.268143,0,10.488494
19,0.167564,0,10.532743
19,0.239289,1,10.416893
42,0.202330,0,10.504269
48,0.111594,0,10.510065
41,0.249573,1,10.439425
26,0.171947,1,10.031897
41,0.217540,0,10.195940
40,0.264010,1,10.503265
40,0.244531,1,10.546846
40,0.176633,0,10.520016
40,0.177336,0,10.484021
46,0.148343,0,10.530291
43,0.448291,0,9.607407
43,0.377307,0,9.814396
27,0.205557,1,10.334373
33,0.191584,0,10.186447
10,0.060393,0,10.541629
27,0.197549,1,10.451229
41,0.168790,1,10.403141
41,0.212466,1,10.441357
18,0.101596,0,10.476463
4,0.097676,0,10.476797
4,0.100791,0,10.452962
21,0.447800,1,9.764753
19,0.339403,1,10.254452
10,0.148600,0,10.527641
46,0.184637,0,10.404022
45,0.144543,0,10.480866
45,0.176038,0,10.507504
12,0.152634,0,10.483645
19,0.258294,0,10.490644
10,0.177282,0,10.518728
12,0.145311,0,10.560921
12,0.106883,0,10.571613
3,0.308994,1,9.986948
3,0.281153,1,10.268684
3,0.235521,1,9.927009
3,0.343197,1,10.088079
1,0.250183,0,10.212814
1,0.208003,0,10.374469
7,0.068358,0,10.487595
7,0.125225,0,10.503729
7,0.157428,0,10.487329
19,0.196709,1,10.496467
10,0.100223,0,10.542327
45,0.154453,0,10.430538
7,0.167564,0,10.521647
18,0.147468,0,10.493281
46,0.082865,0,10.540581
7,0.168736,0,10.533517
7,0.152063,0,10.502348
7,0.119615,0,10.512775
46,0.190255,0,10.451647
20,0.152063,1,10.456161
20,0.144646,1,10.430268
20,0.237133,0,10.396187
20,0.129894,0,10.446219
20,0.148806,0,10.479122
20,0.111932,0,10.435286
20,0.180431,0,10.436195
45,0.142806,1,10.474895
8,0.132042,0,10.438910
8,0.109522,0,10.449032
8,0.102166,0,10.485868
8,0.137677,0,10.462856
8,0.181357,0,10.392157
8,0.155443,0,10.393604
8,0.221840,0,10.299412
1,0.155600,1,10.137995
1,0.175822,0,10.213530
1,0.183049,0,10.263132
11,0.038624,0,10.444540
11,0.075901,0,10.521925
46,0.242357,1,10.502904
46,0.154661,0,10.546241
38,0.164430,1,10.421097
21,0.003213,0,9.652861
18,0.133998,0,10.527300
18,0.148137,0,10.541664
18,0.177282,0,10.434259
3,0.220152,1,10.263760
0,0.156226,0,10.449181
0,0.121921,0,10.399405
10,0.097206,0,10.549880
13,0.164218,0,10.435764
13,0.143572,0,10.442359
46,0.091173,0,10.470417
17,0.158528,0,10.474358
17,0.134048,0,10.447828
17,0.332362,0,10.022976
35,0.255764,1,10.404381
29,0.188045,0,10.440498
29,0.238690,1,10.418117
0,0.144083,0,10.417713
24,0.188431,1,10.396378
11,0.098618,0,10.492970
11,0.080944,0,10.479290
37,0.133245,1,10.457395
24,0.281153,0,10.166072
27,0.215055,1,10.456356
36,0.138182,0,10.470821
38,0.245621,0,10.216393
0,0.094812,0,10.423494
17,0.109859,0,10.497034
17,0.149632,0,10.471833
23,0.193418,0,10.262712
9,0.182230,0,10.450329
9,0.128648,0,10.475597
9,0.117709,0,10.547219
9,0.180812,0,10.475602
0,0.118734,0,10.446205
17,0.134903,0,10.472369
5,0.220210,0,10.295650
5,0.135406,0,10.305332
9,0.142449,0,10.497047
32,0.121184,0,10.190170
13,0.178691,1,10.378545
13,0.143265,0,10.456333
47,0.302666,1,10.364993
17,0.192806,0,10.357025
12,0.125819,0,10.569336
12,0.098147,0,10.571963
32,0.041243,0,10.465044
41,0.186174,1,10.512572
41,0.178746,0,10.534712
0,0.172967,0,10.336516
16,0.112415,0,10.454517
16,0.082956,0,10.528403
27,0.175336,1,10.466461
27,0.146183,0,10.525911
22,0.203177,0,9.958735
30,0.644082,1,9.523751
30,0.574125,1,9.372572
37,0.147159,0,10.526672
37,0.157533,1,10.462419
31,0.192028,1,10.406475
38,0.157271,0,10.149844
11,0.084884,0,10.449547
11,0.084424,0,10.525868
11,0.063344,0,10.510126
21,0.539572,1,9.479475
21,0.095000,0,10.368817
21,0.591248,1,9.336661
34,0.318840,0,10.189671
32,0.063520,0,10.504645
31,0.134903,1,10.354290
37,0.129495,0,10.434237
0,0.291885,0,9.419529
31,0.123349,1,10.026513
1,0.318976,0,10.070625
28,0.183377,1,10.277519
39,0.590853,1,9.416871
39,0.678138,1,9.419829
37,0.107219,1,10.157450
28,0.156748,1,10.466920
37,0.193473,0,10.456772
25,0.188266,1,9.704572
23,0.137879,0,10.223625
1,0.306923,0,9.931718
1,0.322451,0,9.946119
44,0.066000,0,10.600437
23,0.214709,0,10.291664
30,0.394639,1,9.823093
28,0.286561,0,10.242672
28,0.324024,0,10.318243
31,0.174096,1,10.474331
4,0.251161,1,10.337372
35,0.216672,1,10.474613
27,0.181738,1,10.479316
44,0.116490,0,10.582300
14,0.117757,0,10.225836
3,0.304592,1,10.065332
25,0.121872,0,10.573318
29,0.325807,1,10.135139
14,0.093877,0,10.509005
14,0.096266,1,10.406869
32,0.042515,0,10.307238
6,0.129445,0,10.495491
6,0.136767,0,10.475742
34,0.166128,1,10.278685
28,0.180594,0,10.429794
31,0.238390,1,10.232803
34,0.211605,1,10.381021
35,0.187384,0,10.495228
6,0.167510,1,10.403300
6,0.234925,1,10.460321
6,0.120105,0,10.420315
22,0.123152,0,10.489805
30,0.298438,1,9.889034
49,0.138385,1,10.489178
37,0.203064,1,10.304113
30,0.304392,1,10.191807
24,0.598701,1,9.089026
47,0.181957,0,10.550223
34,0.430008,1,9.390812
3,0.264697,0,10.173522
3,0.318636,1,10.203711
49,0.096266,0,10.540180
49,0.179289,0,10.483707
49,0.088343,0,10.507372
49,0.097770,0,10.449043
49,0.191640,0,10.484615
49,0.177770,0,10.535791
49,0.166553,0,10.487019
22,0.108609,0,10.453890
5,0.354641,0,9.435163
30,0.294237,1,10.197518
15,0.090940,1,10.294914
26,0.307190,1,10.224372
34,0.429609,1,9.437962
39,0.605418,1,9.405187
